Question Text,Option A,Option B,Option C,Option D,Correct Option
"బర్నబా ఎలాంటి వ్యక్తిగా వర్ణించబడ్డాడు?","ధనవంతుడు","మంచి వాడు, పరిశుద్ధాత్మతో విశ్వాసంతో నిండినవాడు","యాజకుడు","రాజు","మంచి వాడు, పరిశుద్ధాత్మతో విశ్వాసంతో నిండినవాడు"
"బర్నబా ఎవరిని వెదకడానికి తార్సుకు వెళ్లాడు?","పేతురు","మార్కు","సౌలు","సీలా","సౌలు"
"బర్నబా సౌలును తీసుకొని ఎక్కడికి వచ్చాడు?","యొప్పే","అంతియొకయ","కైసరియా","లుద్ద","అంతియొకయ"
"బర్నబా మరియు సౌలు అంతియొకయ సంఘములో ఎంతకాలం బోధించారు?","6 నెలలు","1 సంవత్సరం","2 సంవత్సరాలు","3 సంవత్సరాలు","1 సంవత్సరం"
"""క్రైస్తవులు"" అనే పేరు మొదట ఎక్కడ పెట్టబడింది?","యెరూషలేములో","రోమాలో","అంతియొకయలో","కైసరియాలో","అంతియొకయలో"
"యెరూషలేము నుండి అంతియొకయకు వచ్చిన ప్రవక్త పేరు ఏమిటి?","అగబు","సీలా","తీతు","మార్కు","అగబు"
"అగబు ఏ విషయాన్ని ప్రవచించాడు?","యుద్ధం","కరువు","భూకంపం","వరద","కరువు"
"కరువు ఎవరి కాలంలో సంభవించింది?","ఆగుస్తు","నీరో","క్లౌదియు కైసరు","తిబేరియ","క్లౌదియు కైసరు"
"అంతియొకయ శిష్యులు ఏమి నిర్ణయించారు?","యెరూషలేముకు వెళ్లాలని","యూదయలోని సహోదరులకు సహాయం పంపాలని","కొత్త సంఘం ప్రారంభించాలని","ఉపవాసం ఉండాలని","యూదయలోని సహోదరులకు సహాయం పంపాలని"
"ఆ సహాయాన్ని ఎవరితో పంపించారు?","పేతురు, యోహాను","ఫిలిప్పు, సీలా","బర్నబా, సౌలు","మార్కు, తీతు","బర్నబా, సౌలు"
